"MSSubClass","MSZoning","LotFrontage","LotArea","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
80,"RL",88,15312,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","SLvl",6,5,1960,1960,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",54,"TA","TA","CBlock","TA","TA","Av","BLQ",588,"Unf",0,550,1138,"GasA","Ex","Y","SBrkr",1138,0,1138,0,1,1,0,3,1,"TA",6,"Typ",1,"Attchd",1960,"RFn",2,480,"TA","TA","Y",0,0,0,3,2009,"COD","Normal"
70,"RM",55.1996764243382,10337,"Pave","IR1","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",8,9,1910,1999,"Hip","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","BrkTil","TA","TA","No","Unf",0,"Unf",0,725,725,"GasA","Ex","N","SBrkr",909,863,1772,0,0,2,1,3,1,"Gd",7,"Typ",0,"Detchd",1992,"Unf",2,816,"TA","TA","Y",0,0,0,5,2007,"WD","Normal"
70,"RL",120,26400,"Pave","Reg","Bnk","AllPub","FR2","Gtl","SawyerW","Feedr","Norm","1Fam","2Story",5,7,1880,2007,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Fa","Fa","Av","GLQ",0,"ALQ",0,0,0,"GasA","Ex","Y","SBrkr",1288,728,2016,0,0,1,0,4,1,"TA",7,"Mod",1,"Attchd",1900,"Unf",2,576,"TA","TA","P",0,0,0,6,2009,"WD","Normal"
70,"RL",75,12000,"Pave","Reg","Bnk","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,7,1941,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",275,"Unf",0,429,704,"GasA","Ex","Y","SBrkr",860,704,1564,0,0,1,1,3,1,"Fa",7,"Typ",1,"Attchd",1941,"Unf",1,234,"TA","TA","Y",0,0,0,7,2009,"WD","Normal"
50,"RL",70,6960,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1.5Fin",7,8,1940,1998,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",258,"Unf",0,422,680,"GasA","Ex","Y","FuseA",798,504,1302,0,0,1,1,2,1,"Gd",6,"Typ",2,"Attchd",1940,"Unf",1,224,"TA","TA","Y",0,0,0,7,2007,"WD","Normal"
50,"RL",81.5244543887489,159000,"Pave","IR2","Low","AllPub","CulDSac","Sev","ClearCr","Norm","Norm","1Fam","1.5Fin",6,7,1958,2006,"Gable","CompShg","Wd Sdng","HdBoard","BrkCmn",472,"Gd","TA","CBlock","Gd","TA","Gd","Rec",697,"Unf",0,747,1444,"GasA","Gd","Y","SBrkr",1444,700,2144,0,1,2,0,4,1,"Gd",7,"Typ",2,"Attchd",1958,"Fin",2,389,"TA","TA","Y",0,98,0,6,2007,"WD","Normal"
160,"FV",30,3180,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2005,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,600,600,"GasA","Ex","Y","SBrkr",520,600,1200,0,0,2,1,2,1,"Gd",4,"Typ",0,"Detchd",2005,"RFn",2,480,"TA","TA","Y",0,166,0,4,2006,"WD","Abnorml"
60,"RL",78.4157112165226,29959,"Pave","IR2","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",7,6,1994,1994,"Gable","CompShg","HdBoard","HdBoard","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",595,"Unf",0,378,973,"GasA","Ex","Y","SBrkr",979,871,1850,0,0,2,1,3,1,"Gd",7,"Typ",1,"BuiltIn",1994,"Fin",2,467,"TA","TA","Y",168,98,0,1,2009,"WD","Normal"
50,"RM",52,6240,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",7,5,1939,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","Mn","Rec",300,"LwQ",240,449,989,"GasA","TA","Y","SBrkr",1245,764,2009,0,0,2,0,4,1,"TA",7,"Min2",1,"Detchd",1939,"Unf",2,400,"TA","TA","Y",0,20,0,1,2008,"WD","Normal"
20,"RL",63,10712,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",5,5,1991,1992,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","Mn","BLQ",212,"Unf",0,762,974,"GasA","TA","Y","SBrkr",974,0,974,0,0,1,0,3,1,"TA",5,"Typ",0,"2Types",1965.30640915532,"RFn",0,0,"Ex","Ex","Y",0,28,0,9,2007,"Oth","Abnorml"
20,"RL",129,16770,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",8,5,2002,2003,"Hip","CompShg","VinylSd","VinylSd","BrkFace",270,"Gd","TA","PConc","Ex","TA","Gd","GLQ",1196,"Unf",0,516,1712,"GasA","Ex","Y","SBrkr",1712,0,1712,1,0,2,0,3,1,"Gd",8,"Typ",1,"Attchd",2002,"RFn",3,701,"TA","TA","Y",218,183,0,9,2009,"WD","Normal"
120,"RL",44,6442,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Stone",178,"Gd","TA","PConc","Gd","Gd","Mn","GLQ",24,"Unf",0,1346,1370,"GasA","Ex","Y","SBrkr",1370,0,1370,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2006,"RFn",2,484,"TA","TA","Y",120,49,0,10,2007,"WD","Normal"
20,"RL",70,8251,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",7,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",143,"Gd","TA","PConc","Gd","Gd","Av","GLQ",778,"Unf",0,716,1494,"GasA","Ex","Y","SBrkr",1506,0,1506,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2005,"RFn",2,672,"TA","TA","Y",192,35,0,4,2007,"WD","Normal"
20,"RL",55,8250,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,5,1968,1968,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","BLQ",250,"LwQ",492,210,952,"GasA","Ex","Y","SBrkr",1211,0,1211,0,0,1,0,3,1,"TA",5,"Typ",1,"Attchd",1968,"Unf",1,322,"TA","TA","Y",0,63,0,8,2008,"WD","Normal"
20,"RL",90,11988,"Pave","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","1Fam","1Story",6,6,1957,1957,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",777,"Unf",0,467,1244,"GasA","Ex","Y","FuseA",1244,0,1244,0,0,1,1,3,1,"TA",6,"Typ",2,"Attchd",1957,"Unf",1,336,"TA","TA","Y",0,40,0,5,2007,"WD","Normal"
20,"RL",95,12182,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NridgHt","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd","TA","Mn","BLQ",1201,"Unf",0,340,1541,"GasA","Ex","Y","SBrkr",1541,0,1541,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2005,"RFn",2,532,"TA","TA","Y",0,70,0,5,2010,"New","Partial"
20,"RL",74,8556,"Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,1240,1240,"GasA","Ex","Y","SBrkr",1240,0,1240,0,0,2,0,2,1,"Gd",5,"Typ",0,"Attchd",2006,"RFn",3,826,"TA","TA","Y",140,93,0,5,2007,"WD","Normal"
60,"RL",71.2350282188624,9303,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","2Story",6,5,1996,1997,"Hip","CompShg","VinylSd","VinylSd","BrkFace",42,"Gd","TA","PConc","Ex","TA","No","ALQ",742,"Unf",0,130,872,"GasA","Ex","Y","SBrkr",888,868,1756,1,0,2,1,3,1,"TA",7,"Typ",0,"Attchd",1996,"Fin",2,422,"TA","TA","Y",144,122,0,7,2007,"WD","Normal"
50,"RL",60,6000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","SWISU","Norm","Norm","1Fam","1.5Fin",5,5,1926,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","Fa","BrkTil","TA","TA","No","Unf",0,"Unf",0,1008,1008,"GasA","Ex","Y","SBrkr",1008,0,1522,0,0,2,0,4,1,"TA",7,"Typ",0,"Attchd",1938.70508095268,"Fin",0,0,"Fa","Fa","P",0,0,138,6,2006,"WD","Normal"
50,"RM",50,6000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",6,6,1927,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Rec",276,"Unf",0,569,845,"GasA","TA","Y","SBrkr",866,430,1296,0,0,1,0,3,1,"TA",6,"Typ",0,"Detchd",1980,"Unf",2,576,"TA","TA","Y",0,0,175,7,2007,"WD","Normal"
50,"RM",50,7288,"Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Artery","Norm","1Fam","1.5Fin",5,7,1925,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","Gd","BrkTil","TA","Po","No","Unf",0,"Unf",0,936,936,"GasA","Ex","Y","SBrkr",936,665,1601,0,0,2,0,3,1,"TA",6,"Typ",0,"2Types",1935.36006941285,"Fin",0,0,"Ex","Ex","N",0,0,0,9,2007,"WD","Normal"
160,"RM",32,3363,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Stone",117,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,976,976,"GasA","Ex","Y","SBrkr",976,732,1708,0,0,2,0,3,1,"Gd",7,"Maj1",0,"Detchd",2004,"Unf",2,380,"TA","TA","Y",0,40,0,4,2006,"WD","Normal"
60,"RL",78.8135772647648,12384,"Pave","Reg","Lvl","AllPub","CulDSac","Gtl","NWAmes","Norm","Norm","1Fam","2Story",7,7,1976,1976,"Gable","CompShg","Plywood","Plywood","BrkFace",233,"TA","TA","CBlock","Gd","TA","No","Unf",0,"Unf",0,793,793,"GasA","TA","Y","SBrkr",1142,793,1935,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",1976,"RFn",2,550,"TA","TA","Y",0,113,252,11,2007,"WD","Normal"
75,"RM",70,6300,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","2.5Unf",7,6,1910,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,1226,1226,"GasA","Ex","Y","SBrkr",1226,878,2104,0,0,2,0,5,1,"TA",9,"Typ",0,"Detchd",1910,"Unf",2,432,"Fa","TA","P",0,341,88,7,2006,"WD","Normal"
50,"RL",50,7000,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",6,6,1924,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","BrkTil","Fa","TA","No","LwQ",617,"Unf",0,0,617,"GasA","Gd","Y","SBrkr",865,445,1310,0,0,2,0,2,1,"TA",6,"Min1",0,"Attchd",1924,"Unf",1,398,"TA","TA","Y",0,0,126,5,2006,"COD","Normal"
20,"RL",80,12000,"Pave","Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","1Story",6,5,1968,1968,"Gable","CompShg","Plywood","Plywood","None",0,"TA","Fa","CBlock","Gd","Fa","No","LwQ",853,"Unf",0,535,1388,"GasA","Gd","Y","SBrkr",1388,0,1388,1,0,2,0,3,1,"TA",6,"Typ",1,"Attchd",1968,"RFn",2,522,"TA","TA","Y",0,58,0,7,2006,"COD","Abnorml"
20,"RL",75,10050,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1955,1955,"Hip","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","Rec",288,"Unf",0,928,1216,"GasA","TA","Y","SBrkr",1216,0,1216,1,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1955,"RFn",1,336,"TA","TA","Y",0,0,0,8,2007,"WD","Normal"
40,"RL",55,6854,"Pave","Reg","Bnk","AllPub","Inside","Mod","BrkSide","Norm","Norm","1Fam","1Story",5,7,1925,1994,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","PConc","TA","TA","No","LwQ",317,"Rec",227,212,756,"GasA","TA","N","FuseA",916,144,1060,1,0,1,0,1,1,"TA",6,"Mod",1,"Detchd",1969,"Unf",1,308,"Fa","TA","Y",0,65,0,8,2007,"WD","Normal"
20,"RL",78,11700,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","RRAn","Norm","1Fam","1Story",6,6,1968,1968,"Gable","CompShg","MetalSd","MetalSd","BrkFace",41,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,912,912,"GasA","Ex","Y","SBrkr",1152,0,1152,1,0,1,1,3,1,"TA",7,"Typ",0,"Attchd",1968,"RFn",2,412,"TA","TA","Y",0,126,0,9,2007,"CWD","Normal"
20,"RL",85,10936,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Somerst","Feedr","Norm","1Fam","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",60,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,1504,1504,"GasA","Ex","Y","SBrkr",1504,0,1504,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2006,"Fin",2,510,"TA","TA","Y",144,0,0,9,2006,"New","Partial"
30,"RL",85,10625,"Pave","Reg","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story",5,5,1920,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","ALQ",108,"Unf",0,350,458,"GasA","Fa","N","SBrkr",835,0,835,0,0,1,0,2,1,"TA",5,"Typ",0,"Basment",1920,"Unf",1,366,"Fa","TA","Y",0,0,77,5,2010,"COD","Abnorml"
20,"RL",82,12464,"Pave","IR2","Low","AllPub","Corner","Mod","CollgCr","Norm","Norm","1Fam","1Story",5,5,1996,1996,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","TA","No","GLQ",732,"Unf",0,308,1040,"GasA","Gd","Y","SBrkr",1040,0,1040,1,0,1,0,3,1,"Gd",6,"Typ",0,"Detchd",2000,"Unf",2,576,"TA","TA","Y",168,0,0,11,2009,"WD","Normal"
60,"RL",93,10261,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",318,"TA","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,936,936,"GasA","Ex","Y","SBrkr",962,830,1792,1,0,2,1,3,1,"TA",8,"Typ",1,"Attchd",2000,"Fin",2,451,"TA","TA","Y",0,0,0,5,2008,"WD","Normal"
160,"FV",30,3215,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2004,2004,"Gable","CompShg","MetalSd","MetalSd","BrkFace",120,"Gd","TA","PConc","Gd","TA","Av","GLQ",280,"Unf",0,320,600,"GasA","Ex","Y","SBrkr",600,600,1200,0,0,2,1,2,1,"Gd",4,"Typ",0,"Detchd",2004,"RFn",2,480,"TA","TA","Y",0,172,0,4,2010,"ConLD","Normal"
50,"RM",60,9600,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,8,1925,1994,"Gambrel","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","Mn","Unf",0,"Unf",0,702,702,"GasA","Gd","Y","SBrkr",842,630,1472,0,0,1,0,3,1,"Gd",6,"Typ",0,"Detchd",1925,"Unf",1,250,"TA","Fa","P",0,0,84,7,2007,"WD","Normal"
60,"RL",105,15578,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,728,728,"GasA","Gd","Y","SBrkr",728,728,1456,0,0,2,1,3,1,"TA",8,"Typ",0,"Attchd",2006,"RFn",2,429,"TA","TA","Y",0,0,0,5,2006,"New","Partial"
160,"FV",30,3180,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",6,5,2005,2005,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","No","GLQ",390,"Unf",0,210,600,"GasA","Ex","Y","SBrkr",600,600,1200,1,0,2,1,2,1,"Gd",5,"Typ",0,"Detchd",2005,"RFn",2,480,"TA","TA","Y",0,166,0,5,2008,"WD","Normal"
30,"RM",47,4608,"Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Artery","Norm","1Fam","1Story",4,6,1945,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","Gd","CBlock","TA","TA","No","Unf",0,"Unf",0,747,747,"GasA","TA","Y","SBrkr",747,0,747,0,0,1,0,2,1,"TA",4,"Typ",0,"Attchd",1945,"Unf",1,220,"TA","TA","Y",0,0,0,6,2010,"WD","Normal"
20,"RL",77.9813815534297,10659,"Pave","IR1","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1961,1961,"Hip","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",915,"Unf",0,135,1050,"GasA","TA","Y","SBrkr",1050,0,1050,1,0,1,0,3,1,"TA",6,"Typ",0,"Attchd",1961,"Unf",1,368,"TA","TA","Y",0,319,0,1,2006,"COD","Normal"
60,"RL",90,11060,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","2Story",7,5,2003,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1150,1150,"GasA","Ex","Y","SBrkr",1164,1150,2314,0,0,2,1,3,1,"Gd",9,"Typ",1,"BuiltIn",2003,"Fin",2,502,"TA","TA","Y",0,274,0,2,2006,"ConLD","Normal"
50,"RM",52,6240,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,7,1936,1980,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","Rec",276,"Unf",0,252,528,"GasA","Gd","Y","SBrkr",548,492,1040,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1979,"Fin",2,624,"TA","TA","P",306,0,32,5,2010,"WD","Normal"
50,"RL",65,6435,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin",6,5,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,972,972,"GasA","Gd","Y","SBrkr",972,605,1577,0,0,1,0,3,1,"Fa",6,"Typ",1,"Detchd",1939,"Unf",1,312,"TA","TA","Y",0,0,0,10,2006,"WD","Normal"
90,"RL",75,8512,"Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","Duplex","1Story",5,5,1960,1960,"Hip","CompShg","BrkFace","BrkFace","None",0,"TA","TA","CBlock","TA","Fa","No","Unf",0,"Unf",0,1556,1556,"GasA","TA","Y","SBrkr",1556,0,1556,0,0,2,0,4,2,"TA",8,"Typ",0,"Basment",1960.61581190644,"Fin",0,0,"Ex","Ex","Y",0,0,0,9,2006,"WD","Normal"
20,"RL",84,8658,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1965,1965,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",101,"TA","TA","CBlock","TA","TA","No","Rec",643,"Unf",0,445,1088,"GasA","Ex","Y","SBrkr",1324,0,1324,0,0,2,0,3,1,"TA",6,"Typ",1,"Attchd",1965,"RFn",2,440,"TA","TA","Y",0,138,0,12,2006,"WD","Abnorml"
20,"RM",90,7407,"Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story",6,7,1957,1996,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","TA","TA","No","GLQ",600,"Unf",0,312,912,"GasA","TA","Y","FuseA",1236,0,1236,1,0,1,0,2,1,"TA",6,"Typ",0,"Attchd",1957,"Unf",2,923,"TA","TA","Y",0,158,158,4,2010,"WD","Normal"
20,"RL",72,9770,"Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,5,1957,1957,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","CBlock","TA","TA","No","Rec",512,"Unf",0,410,922,"GasA","TA","Y","FuseA",922,0,922,1,0,1,0,2,1,"TA",5,"Typ",0,"Attchd",1957,"Unf",1,308,"TA","TA","Y",0,34,0,4,2007,"WD","Normal"
60,"RL",71.2350282188624,9303,"Pave","IR1","Lvl","AllPub","Corner","Gtl","Timber","Norm","Norm","1Fam","2Story",6,5,1996,1997,"Hip","CompShg","VinylSd","VinylSd","BrkFace",42,"Gd","TA","PConc","Ex","TA","No","ALQ",742,"Unf",0,130,872,"GasA","Ex","Y","SBrkr",888,868,1756,1,0,2,1,3,1,"TA",7,"Typ",0,"Attchd",1996,"Fin",2,422,"TA","TA","Y",144,122,0,7,2007,"WD","Normal"
20,"FV",75,7500,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",238,"Gd","TA","PConc","Gd","TA","No","GLQ",24,"Unf",0,1348,1372,"GasA","Ex","Y","SBrkr",1448,0,1448,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2006,"RFn",2,692,"TA","TA","Y",0,140,0,6,2009,"WD","Normal"
20,"RL",65,9757,"Pave","Reg","Low","AllPub","Inside","Mod","CollgCr","Norm","Norm","1Fam","1Story",5,7,1994,1994,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","TA","TA","No","ALQ",755,"Unf",0,235,990,"GasA","Ex","Y","SBrkr",990,0,990,1,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1995,"RFn",1,440,"TA","TA","Y",66,0,0,10,2009,"WD","Normal"
20,"RL",75,10215,"Pave","Reg","Bnk","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1954,1954,"Hip","CompShg","Wd Sdng","Wd Sdng","BrkFace",132,"TA","TA","PConc","TA","TA","No","ALQ",492,"Unf",0,372,864,"GasA","Ex","Y","SBrkr",948,0,948,0,0,1,0,3,1,"TA",5,"Typ",0,"Attchd",1954,"Unf",1,248,"TA","TA","Y",0,0,0,2,2007,"WD","Normal"
90,"RM",83,10126,"Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","Duplex","SFoyer",6,5,1997,1998,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","Gd","PConc","Gd","TA","Gd","GLQ",1593,"LwQ",162,83,1838,"GasA","Ex","Y","SBrkr",1838,0,1838,2,0,2,0,2,2,"TA",8,"Typ",0,"Attchd",1998,"Unf",3,721,"TA","TA","Y",160,67,0,7,2008,"WD","Abnorml"
70,"RM",60,7518,"Pave","Reg","Lvl","AllPub","FR3","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",5,8,1910,2004,"Gable","CompShg","AsbShng","Plywood","None",0,"Fa","Gd","BrkTil","Fa","Fa","No","Unf",0,"Unf",0,396,396,"GasA","Gd","Y","SBrkr",665,665,1330,0,0,1,0,3,1,"TA",7,"Typ",0,"Detchd",2001,"Unf",1,390,"TA","TA","N",0,72,45,7,2006,"WD","Normal"
20,"RL",129,9196,"Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Ex","TA","No","Unf",0,"Unf",0,1560,1560,"GasA","Ex","Y","SBrkr",1560,0,1560,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2003,"Fin",2,573,"TA","TA","Y",100,150,0,4,2010,"WD","Normal"
160,"FV",30,3180,"Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","No","Unf",0,"Unf",0,689,689,"GasA","Ex","Y","SBrkr",703,689,1392,0,0,2,0,2,1,"Gd",5,"Typ",0,"Detchd",2007,"Unf",2,540,"TA","TA","Y",0,102,0,3,2008,"WD","Abnorml"
60,"RL",67.5641499154076,15038,"Pave","IR2","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,1996,1996,"Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","PConc","Gd","TA","No","Rec",138,"Unf",0,778,916,"GasA","Gd","Y","SBrkr",916,720,1636,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",1996,"Fin",2,386,"TA","TA","Y",168,84,0,11,2008,"WD","Normal"
50,"RM",52,6240,"Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,7,1936,1980,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","Fa","No","Rec",276,"Unf",0,252,528,"GasA","Gd","Y","SBrkr",548,492,1040,0,0,1,0,2,1,"TA",5,"Typ",0,"Detchd",1979,"Fin",2,624,"TA","TA","P",306,0,32,5,2010,"WD","Normal"
