"MSZoning","LotFrontage","Utilities","MasVnrType","MasVnrArea","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Electrical","BsmtFullBath","BsmtHalfBath","KitchenQual","Functional","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","MSSubClass","LotArea","Street","LotShape","LandContour","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","ExterQual","ExterCond","Foundation","Heating","HeatingQC","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","MoSold","YrSold","SaleType","SaleCondition"
"RM",44,"AllPub","Stone",174,"Ex","TA","Gd","GLQ",1373,"Unf",0,221,1594,"SBrkr",1,1,"Gd","Typ","Attchd",2004,"Fin",2,482,"TA","TA",120,3842,"Pave","IR1","HLS","Inside","Mod","Crawfor","Norm","Norm","TwnhsE","1Story",8,5,2004,2005,"Hip","CompShg","CemntBd","CmentBd","Gd","TA","PConc","GasA","Ex","Y",1646,0,1646,2,0,2,1,5,1,"Y",128,53,0,1,2008,"WD","Normal"
"RM",60,"AllPub","None",0,"TA","TA","Mn","Unf",0,"Unf",0,1313,1313,"SBrkr",0,0,"TA","Typ","Detchd",1950,"Unf",2,342,"TA","Fa",70,10800,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story",7,7,1890,1999,"Gable","CompShg","Wd Sdng","Wd Shng","TA","TA","BrkTil","GasW","Gd","Y",1313,1182,2495,2,0,5,1,10,1,"Y",0,299,0,12,2008,"WD","Normal"
"RL",72,"AllPub","None",0,"Fa","Fa","No","Unf",0,"Unf",0,832,832,"FuseF",0,0,"TA","Typ","Detchd",1974,"Unf",2,528,"TA","TA",50,7822,"Pave","Reg","Bnk","Corner","Gtl","Edwards","Artery","Norm","1Fam","1.5Fin",6,3,1915,1950,"Gable","CompShg","AsbShng","AsbShng","TA","Fa","BrkTil","GasA","TA","Y",846,492,1338,2,0,3,1,7,0,"N",0,0,208,5,2006,"WD","AdjLand"
"RL",107,"AllPub","None",0,"TA","TA","No","ALQ",288,"Unf",0,717,1005,"SBrkr",1,0,"TA","Typ","Attchd",1937,"Fin",2,498,"TA","TA",70,12888,"Pave","Reg","Bnk","Inside","Gtl","Sawyer","Feedr","Norm","1Fam","2Story",7,8,1937,1980,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","Gd","CBlock","GasA","TA","Y",1262,1005,2267,1,1,3,1,7,2,"Y",521,0,0,4,2007,"WD","Normal"
"RL",57,"AllPub","None",0,"Gd","TA","Av","Unf",0,"Unf",0,745,745,"SBrkr",0,0,"Gd","Typ","Attchd",2005,"Fin",2,392,"TA","TA",60,8918,"Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2005,2006,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",745,745,1490,2,1,3,1,7,1,"Y",36,20,0,7,2009,"WD","Normal"
"RL",54,"AllPub","BrkFace",72,"Gd","Gd","No","GLQ",980,"LwQ",40,92,1112,"SBrkr",1,0,"Gd","Typ","Attchd",1987,"Unf",2,551,"TA","TA",20,13811,"Pave","IR1","Lvl","Inside","Gtl","Timber","Norm","Norm","1Fam","1Story",6,6,1987,1987,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","Gd","Y",1137,0,1137,2,0,2,1,5,1,"Y",125,0,0,7,2006,"WD","Normal"
"RL",100,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,0,0,"FuseA",0,0,"TA","Min1","Attchd",1950,"RFn",2,394,"TA","TA",20,21370,"Pave","Reg","Lvl","FR2","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1950,1950,"Gable","CompShg","Wd Sdng","MetalSd","TA","TA","Slab","GasA","TA","Y",1640,0,1640,1,0,3,1,7,1,"Y",0,0,225,6,2006,"WD","Normal"
"RM",40,"AllPub","None",0,"TA","TA","Mn","LwQ",370,"Unf",0,779,1149,"FuseA",0,0,"Gd","Typ","Detchd",1926,"Unf",1,216,"TA","TA",40,5400,"Pave","Reg","Lvl","Corner","Gtl","OldTown","Norm","Norm","1Fam","1Story",6,7,1926,2004,"Gable","CompShg","MetalSd","MetalSd","TA","Gd","BrkTil","GasA","Gd","Y",1149,467,1616,2,0,3,1,5,0,"Y",0,0,183,10,2007,"WD","Normal"
"RL",80,"AllPub","BrkFace",423,"TA","Gd","Mn","LwQ",540,"Rec",1020,0,1560,"SBrkr",0,0,"TA","Typ","Attchd",1960,"RFn",2,580,"TA","TA",20,25485,"Pave","IR1","Lvl","CulDSac","Gtl","Crawfor","Norm","Norm","1Fam","1Story",6,4,1960,1960,"Gable","CompShg","Wd Sdng","MetalSd","TA","Fa","CBlock","GasA","TA","Y",1560,0,1560,1,1,3,1,6,3,"Y",0,75,584,5,2007,"WD","Normal"
"RL",71,"AllPub","BrkFace",153,"TA","TA","No","BLQ",560,"Unf",0,420,980,"SBrkr",0,0,"TA","Typ","Detchd",1986,"Unf",2,484,"TA","TA",20,7064,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1977,1977,"Gable","CompShg","Plywood","Plywood","TA","TA","CBlock","GasA","TA","Y",980,0,980,1,0,3,1,6,0,"Y",192,0,0,7,2009,"WD","Normal"
"RM",60,"AllPub","None",0,"TA","Fa","No","Unf",0,"Unf",0,596,596,"FuseF",0,0,"Fa","Typ","Detchd",1924,"Unf",2,370,"Fa","Fa",50,10320,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",4,5,1924,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","Po","Y",834,596,1430,2,0,3,1,7,0,"Y",218,0,0,10,2006,"WD","Abnorml"
"FV",60,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,1568,1568,"SBrkr",0,0,"Gd","Typ","Attchd",2001,"RFn",2,564,"TA","TA",20,7180,"Pave","IR1","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2001,2002,"Gable","CompShg","CemntBd","CmentBd","Gd","TA","PConc","GasA","Ex","Y",1568,0,1568,2,0,3,1,6,1,"Y",0,266,0,9,2006,"WD","Normal"
"RL",65,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,972,972,"SBrkr",0,0,"Fa","Typ","Detchd",1939,"Unf",1,312,"TA","TA",50,6435,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","1.5Fin",6,5,1939,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","Gd","Y",972,605,1577,1,0,3,1,6,1,"Y",0,0,0,10,2006,"WD","Normal"
"RM",21,"AllPub","None",0,"Gd","TA","Av","GLQ",501,"Unf",0,25,526,"SBrkr",1,0,"TA","Typ","BuiltIn",1973,"RFn",1,297,"TA","TA",180,1974,"Pave","Reg","Lvl","Inside","Gtl","MeadowV","Norm","Norm","Twnhs","SFoyer",4,7,1973,2006,"Gable","CompShg","CemntBd","CmentBd","TA","Gd","CBlock","GasA","Gd","Y",526,462,988,1,0,2,1,5,0,"Y",120,101,0,6,2008,"WD","Normal"
"RL",128,"AllPub","Stone",1224,"Ex","TA","Gd","GLQ",4010,"Unf",0,1085,5095,"SBrkr",1,1,"Ex","Typ","Attchd",2008,"Fin",3,1154,"TA","TA",20,39290,"Pave","IR1","Bnk","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",10,5,2008,2009,"Hip","CompShg","CemntBd","CmentBd","Ex","TA","PConc","GasA","Ex","Y",5095,0,5095,2,1,2,1,15,2,"Y",546,484,0,10,2007,"New","Partial"
"RM",37,"AllPub","BrkFace",205,"Gd","TA","Mn","GLQ",662,"Unf",0,186,848,"SBrkr",1,0,"Gd","Typ","Attchd",2004,"RFn",2,420,"TA","TA",120,4426,"Pave","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","TwnhsE","1Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",848,0,848,1,0,1,1,3,0,"Y",140,0,0,2,2008,"WD","Normal"
"RL",72,"AllPub","None",0,"Gd","TA","No","ALQ",0,"Unf",0,0,0,"SBrkr",0,0,"TA","Typ","CarPort",1967,"Unf",2,516,"TA","TA",90,10791,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","Duplex","1Story",4,5,1967,1967,"Gable","CompShg","MetalSd","MetalSd","TA","TA","Slab","GasA","TA","Y",1296,0,1296,2,0,2,2,6,0,"Y",0,0,0,10,2006,"WD","Normal"
"RL",80,"AllPub","BrkFace",82,"Gd","TA","Gd","Unf",0,"Unf",0,160,160,"SBrkr",0,0,"TA","Typ","Basment",1958,"RFn",1,384,"TA","TA",20,9000,"Pave","IR1","HLS","Inside","Mod","NAmes","Norm","Norm","1Fam","1Story",6,6,1958,1958,"Flat","Tar&Grv","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","Fa","Y",1142,0,1142,1,0,2,1,5,1,"Y",0,28,64,4,2009,"WD","Normal"
"RL",36,"AllPub","Stone",106,"Gd","TA","No","GLQ",567,"Unf",0,197,764,"SBrkr",0,0,"Gd","Typ","BuiltIn",2003,"RFn",2,474,"TA","TA",160,2268,"Pave","Reg","Lvl","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","2Story",7,5,2003,2004,"Gable","CompShg","VinylSd","Wd Shng","Gd","TA","PConc","GasA","Ex","Y",764,862,1626,2,0,2,1,6,0,"Y",0,27,0,7,2009,"WD","Normal"
"RL",80,"AllPub","BrkFace",87,"TA","TA","Av","GLQ",602,"Unf",0,191,793,"SBrkr",0,1,"TA","Typ","Basment",1966,"Fin",2,432,"TA","TA",85,10050,"Pave","IR1","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","SFoyer",5,6,1966,1966,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","Ex","Y",1280,0,1280,2,0,3,1,6,1,"Y",140,40,0,6,2007,"WD","Normal"
"RM",24,"AllPub","BrkFace",514,"TA","TA","No","Unf",0,"Unf",0,525,525,"SBrkr",0,0,"TA","Typ","Detchd",1973,"Unf",2,440,"TA","TA",160,2760,"Pave","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","TwnhsE","2Story",6,5,1973,1973,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",525,567,1092,1,1,3,1,6,0,"Y",0,0,0,12,2006,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","Av","Unf",0,"Unf",0,0,0,"SBrkr",0,0,"Gd","Typ","Detchd",1946,"Unf",1,308,"TA","TA",20,11100,"Pave","Reg","Low","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,7,1946,2006,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","Ex","Y",930,0,930,1,0,2,1,6,0,"Y",0,0,0,4,2010,"WD","Abnorml"
"RL",68,"AllPub","None",0,"Gd","TA","Av","GLQ",560,"Unf",0,871,1431,"SBrkr",1,0,"Gd","Typ","Attchd",1999,"Fin",2,666,"TA","TA",20,9017,"Pave","IR1","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1431,0,1431,2,0,3,1,6,0,"Y",0,35,0,9,2009,"WD","Normal"
"RM",52,"AllPub","None",0,"TA","TA","No","GLQ",0,"Unf",0,0,0,"SBrkr",0,0,"TA","Typ","Attchd",1957,"Unf",0,0,"TA","TA",50,6240,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",4,5,1947,1950,"Gable","CompShg","AsbShng","AsbShng","TA","TA","Slab","GasA","Gd","N",672,240,912,1,0,2,1,3,0,"N",0,0,0,7,2006,"WD","Normal"
"C (all)",75,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,957,957,"SBrkr",0,0,"TA","Typ","Detchd",1915,"Unf",0,0,"TA","TA",190,8250,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Feedr","Norm","2fmCon","2Story",5,6,1895,2006,"Gable","CompShg","VinylSd","VinylSd","TA","Gd","CBlock","GasA","Fa","N",1034,957,1991,2,0,4,2,9,0,"N",0,0,133,6,2007,"WD","Normal"
"RL",47,"AllPub","None",0,"Gd","TA","Gd","GLQ",342,"Unf",0,646,988,"SBrkr",0,0,"Gd","Typ","Attchd",1999,"RFn",2,597,"TA","TA",60,10820,"Pave","IR2","Lvl","CulDSac","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,1999,1999,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",988,885,1873,2,1,3,1,7,1,"Y",202,123,0,3,2007,"WD","Normal"
"RM",50,"AllPub","None",0,"TA","TA","No","BLQ",672,"Unf",0,0,672,"SBrkr",0,0,"TA","Typ","Detchd",1936,"Unf",1,240,"TA","TA",50,6000,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",4,6,1936,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","TA","Y",757,567,1324,1,0,3,1,6,0,"Y",0,0,0,7,2009,"WD","Normal"
"RL",50,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,1332,1332,"SBrkr",0,0,"Gd","Typ","Attchd",1990,"RFn",2,542,"TA","TA",120,7175,"Pave","Reg","Lvl","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story",6,5,1990,1991,"Gable","CompShg","Plywood","ImStucc","Gd","TA","PConc","GasA","Gd","Y",1332,0,1332,2,0,2,1,5,0,"Y",0,60,0,2,2009,"WD","Normal"
"RL",65,"AllPub","BrkFace",266,"Gd","TA","Mn","GLQ",946,"Unf",0,490,1436,"SBrkr",1,0,"Gd","Typ","Attchd",2004,"Unf",2,484,"TA","TA",20,8450,"Pave","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1436,0,1436,2,0,3,1,8,0,"Y",139,98,0,4,2008,"WD","Normal"
"RL",118,"AllPub","BrkFace",365,"Ex","TA","Gd","Unf",0,"Unf",0,1704,1704,"SBrkr",0,0,"Ex","Typ","BuiltIn",2005,"Fin",3,814,"TA","TA",60,13654,"Pave","IR1","Lvl","CulDSac","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Gable","CompShg","MetalSd","MetalSd","Gd","TA","PConc","GasA","Ex","Y",1722,1036,2758,2,1,4,1,9,1,"Y",282,55,0,5,2007,"WD","Normal"
"RM",40,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,969,969,"FuseA",0,0,"TA","Typ","Detchd",1920,"Unf",1,216,"TA","TA",50,5680,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",5,3,1901,1950,"Gable","CompShg","AsbShng","AsbShng","TA","TA","CBlock","GasA","TA","N",969,245,1214,1,0,2,1,6,0,"N",0,0,77,9,2007,"WD","AdjLand"
"RL",60,"AllPub","None",0,"TA","TA","No","ALQ",734,"Unf",0,160,894,"SBrkr",1,0,"TA","Typ","Detchd",1988,"Unf",2,396,"TA","TA",20,7436,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,7,1960,1960,"Gable","CompShg","VinylSd","VinylSd","TA","TA","CBlock","GasA","Gd","Y",894,0,894,1,0,2,1,5,1,"Y",0,0,0,8,2009,"WD","Normal"
"RL",103,"AllPub","None",0,"Gd","TA","Av","Unf",0,"Unf",0,1316,1316,"SBrkr",0,0,"Gd","Typ","Attchd",2007,"Fin",2,440,"TA","TA",20,11175,"Pave","IR1","Lvl","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2007,2007,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1316,0,1316,2,0,3,1,6,1,"Y",0,20,0,10,2007,"New","Partial"
"RL",81,"AllPub","BrkFace",250,"Ex","TA","Gd","GLQ",1152,"Unf",0,590,1742,"SBrkr",1,0,"Ex","Typ","Attchd",2007,"Fin",3,724,"TA","TA",20,13870,"Pave","IR1","HLS","Inside","Gtl","StoneBr","PosA","PosA","1Fam","1Story",10,5,2006,2007,"Hip","CompShg","CemntBd","CmentBd","Ex","TA","PConc","GasA","Ex","Y",2042,0,2042,2,0,3,1,8,1,"Y",240,52,0,10,2007,"New","Partial"
"RL",53,"AllPub","None",0,"TA","TA","No","Rec",399,"Unf",0,484,883,"SBrkr",1,0,"TA","Typ","Detchd",1940,"Unf",1,240,"TA","TA",50,9144,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",5,5,1940,1982,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","Gd","Y",988,517,1505,1,0,3,1,8,0,"N",0,0,0,7,2008,"WD","Normal"
"RL",93,"AllPub","BrkFace",318,"Gd","TA","No","Unf",0,"Unf",0,936,936,"SBrkr",1,0,"TA","Typ","Attchd",2000,"Fin",2,451,"TA","TA",60,10261,"Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","TA","TA","PConc","GasA","Ex","Y",962,830,1792,2,1,3,1,8,1,"Y",0,0,0,5,2008,"WD","Normal"
"RM",50,"AllPub","None",0,"TA","TA","No","Unf",0,"Unf",0,992,992,"SBrkr",0,0,"TA","Typ","Detchd",1926,"Unf",1,160,"Fa","TA",45,5000,"Pave","Reg","Bnk","Inside","Mod","BrkSide","Norm","Norm","1Fam","1.5Unf",6,7,1926,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","Ex","Y",1013,0,1013,1,0,3,1,6,0,"Y",0,0,101,4,2008,"WD","Normal"
"RL",69,"AllPub","BrkFace",288,"TA","TA","No","ALQ",540,"Unf",0,324,864,"SBrkr",0,0,"TA","Typ","Attchd",1962,"RFn",1,264,"TA","TA",60,7590,"Pave","Reg","Lvl","Inside","Gtl","NAmes","PosN","Norm","1Fam","2Story",5,5,1962,1962,"Gable","CompShg","VinylSd","VinylSd","TA","TA","CBlock","GasA","TA","Y",876,936,1812,2,0,4,1,8,1,"Y",0,168,0,7,2007,"WD","Normal"
"RM",50,"AllPub","None",0,"TA","TA","No","LwQ",264,"Unf",0,475,739,"SBrkr",0,0,"TA","Typ","Detchd",1939,"Unf",1,240,"TA","TA",50,6000,"Pave","Reg","Lvl","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin",6,5,1939,1950,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","Ex","Y",874,468,1342,2,0,2,2,7,1,"Y",0,0,0,4,2008,"WD","Normal"
"RL",70,"AllPub","None",0,"TA","TA","No","BLQ",352,"Unf",0,416,768,"SBrkr",0,0,"TA","Typ","Detchd",1946,"Unf",1,240,"TA","TA",50,11767,"Pave","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin",5,6,1946,1995,"Gable","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","Ex","Y",768,432,1200,1,0,3,1,6,0,"Y",0,0,0,5,2008,"WD","Normal"
"C (all)",60,"AllPub","None",0,"Fa","Fa","Mn","Unf",0,"Unf",0,592,592,"SBrkr",0,0,"Fa","Min2","Detchd",1920,"Unf",1,216,"Fa","Fa",70,9000,"Grvl","Reg","Bnk","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","2Story",4,6,1920,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","Stone","GasA","Ex","Y",432,432,864,1,1,3,1,5,0,"N",0,30,160,6,2008,"WD","Normal"
"RL",80,"AllPub","BrkFace",144,"TA","TA","No","ALQ",832,"Unf",0,308,1140,"SBrkr",0,0,"TA","Typ","Attchd",1978,"Fin",2,479,"TA","TA",20,11088,"Pave","Reg","Lvl","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story",6,5,1978,1998,"Gable","CompShg","HdBoard","HdBoard","TA","TA","PConc","GasA","Gd","Y",1707,0,1707,2,0,3,1,7,1,"Y",0,0,0,5,2009,"WD","Normal"
"RL",95,"AllPub","BrkFace",23,"Ex","TA","No","GLQ",820,"Unf",0,348,1168,"SBrkr",2,0,"TA","Typ","BuiltIn",2000,"Fin",4,820,"TA","TA",90,7976,"Pave","Reg","Lvl","Inside","Gtl","SawyerW","Feedr","Norm","Duplex","2Story",7,5,2000,2000,"Hip","CompShg","VinylSd","VinylSd","TA","TA","PConc","GasA","Ex","Y",1168,1619,2787,4,2,6,2,8,2,"Y",312,0,0,10,2009,"WD","Normal"
"RL",64,"AllPub","None",0,"Gd","TA","No","LwQ",138,"Rec",351,405,894,"SBrkr",1,0,"TA","Typ","Detchd",1979,"Unf",1,308,"TA","TA",20,6285,"Pave","Reg","Lvl","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1977,1977,"Gable","CompShg","Plywood","Plywood","TA","TA","CBlock","GasA","TA","Y",894,0,894,1,0,2,1,5,0,"Y",192,0,0,3,2007,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","Rec",821,"Unf",0,299,1120,"SBrkr",1,0,"TA","Typ","Detchd",1970,"Unf",2,720,"TA","TA",30,10800,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1Story",5,6,1920,1950,"Hip","CompShg","Stucco","Stucco","TA","TA","BrkTil","GasA","Ex","Y",1130,0,1130,1,0,2,1,5,1,"Y",229,0,0,6,2006,"WD","Normal"
"RL",60,"AllPub","None",0,"TA","TA","No","Rec",216,"ALQ",435,261,912,"SBrkr",1,0,"Gd","Typ","Detchd",1966,"Unf",1,315,"TA","TA",20,8169,"Pave","Reg","Lvl","Corner","Gtl","Sawyer","Feedr","Norm","1Fam","1Story",5,7,1966,1966,"Gable","CompShg","Plywood","Plywood","TA","Gd","CBlock","GasA","Ex","Y",912,0,912,1,0,3,1,6,0,"Y",204,0,0,7,2007,"WD","Normal"
"RL",70,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,872,872,"SBrkr",0,0,"Gd","Typ","BuiltIn",2002,"RFn",2,529,"TA","TA",60,8726,"Pave","Reg","Lvl","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",872,1037,1909,2,1,4,1,8,0,"Y",0,108,0,9,2006,"WD","Normal"
"RL",62,"AllPub","None",0,"Gd","TA","No","Unf",0,"Unf",0,738,738,"SBrkr",0,0,"Gd","Typ","Attchd",2006,"RFn",2,440,"TA","TA",60,8857,"Pave","IR1","Lvl","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",738,757,1495,2,1,3,1,7,1,"Y",100,30,0,3,2007,"New","Partial"
"RM",21,"AllPub","BrkFace",232,"TA","TA","No","ALQ",387,"Unf",0,96,483,"SBrkr",0,0,"TA","Typ","Detchd",1971,"Unf",1,264,"TA","TA",160,1680,"Pave","Reg","Lvl","Inside","Gtl","BrDale","Norm","Norm","Twnhs","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","TA","TA","CBlock","GasA","TA","Y",483,504,987,1,1,2,1,4,0,"Y",0,0,0,7,2008,"COD","Abnorml"
"RM",50,"AllPub","None",0,"TA","TA","No","ALQ",374,"Unf",0,487,861,"SBrkr",0,1,"TA","Typ","Detchd",1950,"Fin",2,506,"TA","TA",50,7000,"Pave","Reg","Lvl","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",6,7,1926,1950,"Hip","CompShg","MetalSd","MetalSd","TA","TA","PConc","GasA","Ex","Y",861,424,1285,1,0,3,1,6,0,"Y",96,0,132,5,2006,"WD","Normal"
"RM",69,"AllPub","None",0,"TA","TA","Mn","BLQ",274,"Rec",1073,0,1347,"SBrkr",1,1,"Gd","Typ","Detchd",1957,"Unf",2,551,"TA","TA",20,5805,"Pave","Reg","Bnk","Inside","Mod","OldTown","Norm","Norm","1Fam","1Story",5,7,1957,1957,"Hip","CompShg","MetalSd","MetalSd","TA","TA","CBlock","GasA","Gd","Y",1347,0,1347,1,0,3,1,6,0,"Y",0,0,0,6,2010,"WD","Normal"
"RL",74,"AllPub","BrkFace",96,"Gd","TA","No","Unf",0,"Unf",0,784,784,"SBrkr",0,0,"Gd","Typ","Attchd",2005,"RFn",2,449,"TA","TA",60,7632,"Pave","IR1","Lvl","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",831,754,1585,2,1,3,1,7,0,"Y",100,77,0,3,2006,"WD","Normal"
"FV",65,"AllPub","BrkFace",288,"Gd","TA","No","Unf",0,"Unf",0,1836,1836,"SBrkr",0,0,"Gd","Typ","Attchd",2009,"Fin",2,517,"TA","TA",20,8125,"Pave","Reg","Lvl","Corner","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2008,2009,"Hip","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1836,0,1836,2,0,3,1,8,1,"Y",0,175,0,10,2009,"New","Partial"
"RM",50,"AllPub","None",0,"Fa","TA","No","LwQ",122,"Rec",448,0,570,"SBrkr",0,0,"TA","Typ","Detchd",1930,"Unf",1,252,"Fa","Fa",50,5925,"Pave","Reg","Lvl","Inside","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin",4,6,1900,1950,"Gable","CompShg","MetalSd","MetalSd","TA","TA","BrkTil","GasA","Gd","N",761,380,1141,1,0,3,1,6,0,"Y",0,0,96,5,2007,"ConLw","Normal"
"FV",85,"AllPub","BrkFace",353,"Gd","TA","Av","Unf",0,"Unf",0,1158,1158,"SBrkr",0,0,"Gd","Min2","BuiltIn",2004,"RFn",3,744,"TA","TA",60,10625,"Pave","Reg","Lvl","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story",6,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","Gd","TA","PConc","GasA","Ex","Y",1158,1285,2443,2,1,4,1,9,1,"Y",193,127,0,6,2007,"WD","Normal"
"RL",67,"AllPub","None",0,"Fa","Fa","No","LwQ",836,"Unf",0,0,836,"FuseF",0,0,"TA","Typ","Detchd",1951,"Unf",2,396,"TA","TA",20,8877,"Pave","Reg","Lvl","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","Wd Sdng","Wd Sdng","TA","TA","CBlock","GasA","TA","Y",1220,0,1220,1,0,2,1,6,0,"Y",0,0,0,4,2006,"COD","Normal"
